name,RMSE,R2,MAE,MSE
LD50_knn_ecfp6bits,0.6165992227796354,0.5285065518189882,0.445067527836297,0.38019460153245044
LD50_svm_ecfp6bits,0.6276067905040019,0.5115220278836463,0.4590332753104876,0.3938902834867341
LD50_RF_ecfp6bits,0.6319070601429817,0.5048051360920959,0.4730923400226158,0.39930653265854593
LD50_xgboost_ecfp6bits,0.5839794243981384,0.5770735882600079,0.43483438294280174,0.3410319681203811
LD50_knn_ecfp6counts,0.6012715888779225,0.5516562885859857,0.43464163838104314,0.3615275235917815
LD50_svm_ecfp6counts,0.6048042782941688,0.5463724468485166,0.44492456287680654,0.3657882150429304
LD50_RF_ecfp6counts,0.6179012442283064,0.5265132222302445,0.45827637096122187,0.38180194761888914
LD50_xgboost_ecfp6counts,0.5924360296809644,0.5647361072444168,0.437826241355588,0.3509804492641445
LD50_knn_maccs,0.6011859073226501,0.551784057967198,0.43088578872496686,0.361424495163358
LD50_svm_maccs,0.5754705193613955,0.5893083466354951,0.4186507601544445,0.33116631865407425
LD50_RF_maccs,0.5776863970891781,0.5861394803293041,0.42234356170471377,0.3337215733818756
LD50_xgboost_maccs,0.5937769154218591,0.5627635748333554,0.4368393371170424,0.3525710252878976
LD50_knn_rdkit2d,0.5972038684634546,0.557702035407065,0.4273860921945305,0.3566524605077152
LD50_svm_rdkit2d,0.614532191600988,0.5316624367300838,0.4443507272006733,0.37764981451391344
LD50_RF_rdkit2d,0.5688644307820062,0.5986832601795833,0.41287754449839686,0.3236067406089359
LD50_xgboost_rdkit2d,0.5536169446497967,0.619908231255941,0.40107429515214776,0.3064917214033761
LD50_knn_mordred,0.5888235396150056,0.570028130176873,0.42094868564102433,0.34671316080474407
LD50_svm_mordred,0.6019583599518366,0.5506315092861204,0.430549273611306,0.36235386711590484
LD50_RF_mordred,0.5702157416785977,0.5967743772800204,0.41177095195694485,0.32514599205807326
LD50_xgboost_mordred,0.5636379838708794,0.6060235869896917,0.41152443547570117,0.3176877768620297
