name,Accuracy,Balance Accuracy,F1_score,MCC,AUROC
Toxic_knn_ecfp6bits,0.7450773558368495,0.7325302564606078,0.742894115481333,0.4731110515854856,0.7325302564606078
Toxic_svm_ecfp6bits,0.7468354430379747,0.7352543880914579,0.7450336459712092,0.4772638733127907,0.7352543880914579
Toxic_RF_ecfp6bits,0.7584388185654009,0.7396755031609037,0.7533245721190068,0.5002594036115744,0.7396755031609037
Toxic_xgboost_ecfp6bits,0.7478902953586498,0.7348649372247716,0.7455068747359669,0.47871704448538055,0.7348649372247718
Toxic_knn_ecfp6counts,0.7566807313642757,0.7440242446449874,0.7544460781543839,0.4971161475799576,0.7440242446449873
Toxic_svm_ecfp6counts,0.7422644163150492,0.7271487995853956,0.7389410559214751,0.46621203479462403,0.7271487995853956
Toxic_RF_ecfp6counts,0.7654711673699015,0.7461106789502692,0.7600943820940784,0.5155364643154835,0.7461106789502693
Toxic_xgboost_ecfp6counts,0.7672292545710268,0.7532961613151545,0.7644817871323978,0.5187344316143131,0.7532961613151546
Toxic_knn_maccs,0.770042194092827,0.7572630435673801,0.7677634508329949,0.5248512918347886,0.7572630435673801
Toxic_svm_maccs,0.7791842475386779,0.7665101608971086,0.7769554213935765,0.5439183498479571,0.7665101608971086
Toxic_RF_maccs,0.7823488045007032,0.7698031590310848,0.7801719974623786,0.5505367366204228,0.7698031590310848
Toxic_xgboost_maccs,0.7834036568213784,0.7714811633826097,0.7814530869147399,0.5528517248660548,0.7714811633826099
Toxic_knn_rdkit2d,0.7665260196905767,0.7539910489564285,0.7643398482544628,0.5176071366859634,0.7539910489564287
Toxic_svm_rdkit2d,0.7654711673699015,0.7540540595255025,0.7637041591187631,0.515835015891328,0.7540540595255028
Toxic_RF_rdkit2d,0.780239099859353,0.7669912174907217,0.7777937547918627,0.5460361363974763,0.7669912174907217
Toxic_xgboost_rdkit2d,0.7841068917018285,0.7727449175270098,0.7823516388454043,0.5544486157485587,0.7727449175270098
Toxic_knn_mordred,0.770745428973277,0.7607030663625289,0.7694448285135678,0.5273617959900211,0.7607030663625289
Toxic_svm_mordred,0.7819971870604782,0.7717828043397834,0.7806229515382522,0.5504702211024075,0.7717828043397834
Toxic_RF_mordred,0.7805907172995781,0.7678407214279966,0.7783354194186535,0.5468379579957108,0.7678407214279966
Toxic_xgboost_mordred,0.7795358649789029,0.767033224536771,0.7773714085953174,0.5446832486260923,0.7670332245367711
