name,RMSE,R2,MAE,MSE
LD50_knn_Hmodel,0.537763577077877,0.6413651543178964,0.383375193877932,0.2891896648315938
LD50_SVM_Hmodel,0.5275977888985869,0.6547961347412393,0.3764338935496567,0.2783594268506779
LD50_RF_Hmodel,0.52973153989392,0.6519982892190139,0.3777879121143954,0.2806155043583837
LD50_xgboost_Hmodel,0.5345099433199271,0.6456917265932912,0.3823484346155755,0.2857008795078716
LD50_knn_ecfp6bits,0.6165992227796354,0.5285065518189882,0.445067527836297,0.3801946015324504
LD50_svm_ecfp6bits,0.6276067905040019,0.5115220278836463,0.4590332753104876,0.3938902834867341
LD50_RF_ecfp6bits,0.6319070601429817,0.5048051360920959,0.4730923400226158,0.3993065326585459
LD50_xgboost_ecfp6bits,0.5839794243981384,0.5770735882600079,0.4348343829428017,0.3410319681203811
LD50_knn_ecfp6counts,0.6012715888779225,0.5516562885859857,0.4346416383810431,0.3615275235917815
LD50_svm_ecfp6counts,0.6048042782941688,0.5463724468485166,0.4449245628768065,0.3657882150429304
LD50_RF_ecfp6counts,0.6179012442283064,0.5265132222302445,0.4582763709612218,0.3818019476188891
LD50_xgboost_ecfp6counts,0.5924360296809644,0.5647361072444168,0.437826241355588,0.3509804492641445
LD50_knn_maccs,0.6011859073226501,0.551784057967198,0.4308857887249668,0.361424495163358
LD50_svm_maccs,0.5754705193613955,0.5893083466354951,0.4186507601544445,0.3311663186540742
LD50_RF_maccs,0.5776863970891781,0.5861394803293041,0.4223435617047137,0.3337215733818756
LD50_xgboost_maccs,0.5937769154218591,0.5627635748333554,0.4368393371170424,0.3525710252878976
LD50_knn_rdkit2d,0.5972038684634546,0.557702035407065,0.4273860921945305,0.3566524605077152
LD50_svm_rdkit2d,0.614532191600988,0.5316624367300838,0.4443507272006733,0.3776498145139134
LD50_RF_rdkit2d,0.5688644307820062,0.5986832601795833,0.4128775444983968,0.3236067406089359
LD50_xgboost_rdkit2d,0.5536169446497967,0.619908231255941,0.4010742951521477,0.3064917214033761
LD50_knn_mordred,0.5888235396150056,0.570028130176873,0.4209486856410243,0.346713160804744
LD50_svm_mordred,0.6019583599518366,0.5506315092861204,0.430549273611306,0.3623538671159048
LD50_RF_mordred,0.5702157416785977,0.5967743772800204,0.4117709519569448,0.3251459920580732
LD50_xgboost_mordred,0.5636379838708794,0.6060235869896917,0.4115244354757011,0.3176877768620297
Bmodel_avgp,0.5535855151916359,0.619951386507464,0.401204056281817,0.3064569226299889
Hmodel_avgp,0.5276270666519393,0.654757821183973,0.37556543849935525,0.27839032146373
